date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-12-24 00:00:00+00:00,234.34,240.84,234.27,239.04,147311588,227.5771799061,233.8895963497,227.5092000367,232.1415425653,147311588,0.0,1.0
2018-12-26 00:00:00+00:00,246.18,246.18,233.76,235.97,218485360,239.0754892433,239.0754892433,227.0139181311,229.1601397219,218485360,0.0,1.0
2018-12-27 00:00:00+00:00,248.07,248.29,238.96,242.57,186267342,240.9109457169,241.124596735,232.063851286,235.5696702646,186267342,0.0,1.0
2018-12-28 00:00:00+00:00,247.75,251.4,246.45,249.58,153100189,240.6001805997,244.144845218,239.337697311,242.3773686138,153100189,0.0,1.0
2018-12-31 00:00:00+00:00,249.92,250.19,247.47,249.56,144299370,242.7075565508,242.9697646185,240.3282611221,242.357945794,144299370,0.0,1.0
2019-01-02 00:00:00+00:00,250.18,251.21,245.95,245.98,126925199,242.9600532086,243.9603284296,238.8521268153,238.881261045,126925199,0.0,1.0
2019-01-03 00:00:00+00:00,244.21,248.57,243.67,248.23,144140692,237.1623414904,241.3965162126,236.6379253551,241.0663282755,144140692,0.0,1.0
2019-01-04 00:00:00+00:00,252.39,253.11,247.17,247.59,142628834,245.1062747994,245.8054963132,240.0369188247,240.4447980411,142628834,0.0,1.0
2019-01-07 00:00:00+00:00,254.38,255.95,251.69,252.69,103139100,247.0388453721,248.5635367285,244.4264761055,245.3976170968,103139100,0.0,1.0
2019-01-08 00:00:00+00:00,256.77,257.31,254.0,256.82,102512587,249.3598723414,249.8842884767,246.6698117954,249.408429391,102512587,0.0,1.0
2019-01-09 00:00:00+00:00,257.97,258.91,256.19,257.56,95006554,250.525241531,251.4381140628,248.7966105664,250.1270737245,95006554,0.0,1.0
2019-01-10 00:00:00+00:00,258.88,259.16,255.5,256.26,96823923,251.4089798331,251.6808993106,248.1265232824,248.8645904358,96823923,0.0,1.0
2019-01-11 00:00:00+00:00,258.98,259.01,257.03,257.68,73858110,251.5060939322,251.5352281619,249.6123689991,250.2436106435,73858110,0.0,1.0
2019-01-14 00:00:00+00:00,257.4,258.3,256.41,256.86,70908227,249.9716911659,250.8457180581,249.0102615845,249.4472750306,70908227,0.0,1.0
2019-01-15 00:00:00+00:00,260.35,260.7,257.81,257.82,85208271,252.8365570903,253.1764564373,250.3698589724,250.3795703823,85208271,0.0,1.0
2019-01-16 00:00:00+00:00,260.98,261.97,260.6,260.83,77636710,253.4483759148,254.4098054963,253.0793423381,253.3027047661,77636710,0.0,1.0
2019-01-17 00:00:00+00:00,262.96,263.92,259.96,260.01,96118435,255.3712350777,256.3035304293,252.4578121037,252.5063691533,96118435,0.0,1.0
2019-01-18 00:00:00+00:00,266.46,266.98,263.0,264.98,127900303,258.7702285473,259.2752218628,255.4100807173,257.3329398801,127900303,0.0,1.0
2019-01-22 00:00:00+00:00,262.86,265.06,261.06,264.82,115531183,255.2741209785,257.4106311594,253.5260671942,257.1775573215,115531183,0.0,1.0
2019-01-23 00:00:00+00:00,263.41,264.79,260.66,264.01,86030287,255.8082485238,257.1484230918,253.1376107976,256.3909331185,86030287,0.0,1.0
2019-01-24 00:00:00+00:00,263.55,264.2,262.08,263.21,59204139,255.9442082625,256.5754499069,254.5166310053,255.6140203255,59204139,0.0,1.0
2019-01-25 00:00:00+00:00,265.78,266.7,263.66,265.61,96883358,258.1098526732,259.0033023852,256.0510337716,257.9447587047,96883358,0.0,1.0
